ticket_id,word,language,confidence,is_technical,context_improved
198,Problème,french,90,False,False
198,connexion,french,90,False,False
198,serveur,french,90,False,False
198,et,french,90,False,False
198,erreur,french,90,False,False
198,E404,tech_error_codes,100,True,False
198,bonjour,french,100,False,False
198,j,french,90,False,False
198,ai,french,90,False,False
198,un,french,90,False,False
198,problème,french,90,False,False
198,urgent,french,90,False,False
198,avec,french,100,False,False
198,mon,french,90,False,False
198,ordinateur,french,90,False,False
198,Le,french,90,False,False
198,serveur,french,90,False,False
198,web,french,90,False,False
198,ne,french,90,False,False
198,répond,french,100,False,False
198,plus,french,90,False,False
198,depuis,french,100,False,False
198,hier,french,90,False,False
198,Voici,french,60,False,True
198,les,french,90,False,False
198,détails,french,100,False,False
198,techniques,french,60,False,True
198,Adresse,french,100,False,False
198,IP,tech_it_abbreviation,100,True,False
198,192,tech_ports,100,True,False
198,168,tech_ports,100,True,False
198,1,unknown,0,False,False
198,100,tech_ports,100,True,False
198,Port,french,90,False,False
198,8080,tech_ports,100,True,False
198,Erreur,french,90,False,False
198,HTTP,tech_it_abbreviation,100,True,False
198,404,tech_ports,100,True,False
198,Not,english,100,False,False
198,Found,english,100,False,False
198,Version,french,90,False,False
198,Apache,english,100,False,False
198,2,tunisian_latin,100,False,False
198,4,unknown,0,False,False
198,41,tech_ports,100,True,False
198,Fichier,french,90,False,False
198,var,unknown,20,False,False
198,www,unknown,0,False,False
198,html,tech_it_abbreviation,100,True,False
198,index,english,100,False,False
198,php,tech_it_abbreviation,100,True,False
198,le,french,90,False,False
198,message,tunisian_latin,90,False,False
198,d,french,90,False,False
198,erreur,french,90,False,False
198,indique,french,86,False,False
198,Fichier,french,90,False,False
198,non,french,90,False,False
198,trouvé,french,100,False,False
198,Mochkla,tunisian_latin,100,False,False
198,kbira,unknown,18,False,False
198,fel,unknown,20,False,False
198,système,french,90,False,False
198,w,tunisian_latin,90,False,False
198,il,french,100,False,False
198,serveur,french,90,False,False
198,ma3adech,tunisian_latin,150,False,False
198,yekhdim,unknown,8,False,False
198,Could,english,100,False,False
198,you,english,100,False,False
198,please,english,100,False,False
198,help,tunisian_latin,90,False,False
198,me,french,90,False,False
198,troubleshoot,unknown,25,False,False
198,this,english,100,False,False
198,issue,english,100,False,False
198,Merci,french,100,False,False
198,d,french,90,False,False
198,avance,french,60,False,True
198,pour,french,90,False,False
198,votre,french,100,False,False
198,aide,french,90,False,False
198,technique,english,100,False,False
197,message,tunisian_latin,90,False,False
197,de,french,90,False,False
197,test,english,100,False,False
197,message,tunisian_latin,90,False,False
197,de,french,90,False,False
197,test,english,100,False,False
196,3nady,tunisian_latin,130,False,False
196,mochkla,tunisian_latin,100,False,False
196,f,english,100,False,False
196,PC,tech_it_abbreviation,100,True,False
196,3nady,tunisian_latin,130,False,False
196,mochkla,tunisian_latin,100,False,False
196,f,english,100,False,False
196,PC,tech_it_abbreviation,100,True,False
195,gmail,french,90,False,False
195,l,french,90,False,False
195,email,french,90,False,False
195,ne,french,90,False,False
195,fonctionne,french,100,False,False
195,pas,french,90,False,False
146,PC,tech_it_abbreviation,100,True,False
146,startup,english,100,False,False
146,problem,english,100,False,False
146,Pc,tech_it_abbreviation,100,True,False
146,ma,french,90,False,False
146,y7ebch,tunisian_latin,140,False,False
146,ydemarre,tunisian_latin,60,False,True
146,yb9a,tunisian_latin,140,False,False
146,stuck,english,100,False,False
146,f,english,100,False,False
146,logo,unknown,22,False,False
76,Projector,english,100,False,False
76,connectivity,english,100,False,False
76,issues,english,100,False,False
76,Dear,english,100,False,False
76,IT,english,100,False,False
76,Support,french,90,False,False
76,I,english,100,False,False
76,am,english,100,False,False
76,unable,english,100,False,False
76,to,english,100,False,False
76,connect,english,100,False,False
76,my,english,100,False,False
76,laptop,english,100,False,False
76,to,english,100,False,False
76,the,english,100,False,False
76,projector,english,100,False,False
76,in,english,100,False,False
76,Conference,english,100,False,False
76,Room,english,100,False,False
76,B,english,100,False,False
76,I,english,100,False,False
76,have,english,100,False,False
76,tried,english,100,False,False
76,multiple,english,100,False,False
76,cables,english,100,False,False
76,and,english,100,False,False
76,settings,english,100,False,False
76,without,english,100,False,False
76,success,english,100,False,False
76,I,english,100,False,False
76,have,english,100,False,False
76,a,french,90,False,False
76,presentation,english,100,False,False
76,scheduled,english,105,False,False
76,for,english,100,False,False
76,tomorrow,english,100,False,False
76,morning,english,100,False,False
76,Your,english,100,False,False
76,prompt,english,100,False,False
76,assistance,french,90,False,False
76,would,english,100,False,False
76,be,english,100,False,False
76,greatly,english,100,False,False
76,appreciated,english,70,False,False
76,Sincerely,english,100,False,False
76,Prof,english,100,False,False
76,Williams,unknown,22,False,False
88,الويندوز,arabic_script,100,False,False
88,يطلب,arabic_script,100,False,False
88,activation,english,100,False,False
88,برجاء,arabic_script,100,False,False
88,التدخ,arabic_script,100,False,False
88,ل,arabic_script,100,False,False
88,الويندوز,arabic_script,100,False,False
88,يطلب,arabic_script,100,False,False
88,activation,english,100,False,False
88,وكي,arabic_script,100,False,False
88,نعمل,arabic_script,100,False,False
88,activate,english,100,False,False
88,ما,arabic_script,100,False,False
88,ينج,arabic_script,100,False,False
88,مش,arabic_script,100,False,False
